 Maintaining 16 concurrent writes of 4194304 bytes for at least 300 seconds.
 Object prefix: benchmark_data_Client_4154
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   102      16      5834      5818   228.122       288  0.064383  0.279315
   103      16      5855      5839   226.723        84  0.088303  0.278669
   104      16      5855      5839   224.543         0         -  0.278669
   105      16      5855      5839   222.404         0         -  0.278669
   106      16      5855      5839   220.306         0         -  0.278669
   107      16      5855      5839   218.247         0         -  0.278669
   108      16      5929      5913   218.967      59.2  0.139471  0.292054
   109      16      6020      6004   220.297       364  0.205148  0.290207
   110      16      6102      6086   221.276       328  0.084845  0.288599
   111      16      6167      6151   221.624       260  0.162957  0.287408
   112      16      6214      6198   221.324       188  0.076537  0.286003
   113      16      6214      6198   219.365         0         -  0.286003
   114      16      6214      6198   217.441         0         -  0.286003
   115      16      6271      6255   217.532        76  0.140282  0.293933
   116      16      6361      6345    218.76       360  0.112801  0.292134
   117      16      6450      6434   219.933       356  0.140476  0.290382
   118      16      6526      6510   220.645       304  0.075834  0.288565
   119      16      6609      6593    221.58       332  0.176009   0.28857
2013-09-25 06:20:32.736534min lat: 0.059625 max lat: 13.6233 avg lat: 0.287003
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   120      16      6694      6678   222.566       340  0.069352  0.287003
   121      16      6760      6744   222.908       264  0.074796  0.286901
   122      16      6853      6837    224.13       372  0.099051  0.285292
   123      16      6941      6925   225.169       352  0.089243  0.283935
   124      16      7038      7022   226.482       388  0.075061  0.282149
   125      16      7141      7125   227.965       412  0.126102   0.28054
   126      16      7210      7194   228.346       276  0.198944  0.279244
   127      16      7211      7195    226.58         4  0.074698  0.279215
   128      16      7242      7226   225.778       124   0.14319  0.280649
   129      16      7286      7270   225.392       176  0.139422  0.282909
   130      16      7388      7372   226.796       408  0.155198  0.282026
   131      16      7491      7475    228.21       412  0.102316  0.280296
   132      16      7593      7577   229.571       408  0.107291  0.278563
   133      16      7675      7659   230.311       328  0.109127  0.277339
   134      16      7757      7741    231.04       328  0.086012  0.276383
   135      16      7834      7818   231.609       308  0.158215  0.276135
   136      16      7940      7924   233.024       424  0.101709    0.2745
   137      16      8029      8013   233.921       356  0.191339  0.273232
   138      16      8096      8080   234.167       268  0.104994  0.272057
   139      16      8107      8091   232.799        44  0.198845  0.271872
2013-09-25 06:20:52.739651min lat: 0.059625 max lat: 13.6233 avg lat: 0.271872
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   140      16      8107      8091   231.136         0         -  0.271872
   141      16      8107      8091   229.497         0         -  0.271872
   142      16      8107      8091   227.881         0         -  0.271872
   143      16      8107      8091   226.288         0         -  0.271872
   144      16      8107      8091   224.716         0         -  0.271872
   145      16      8107      8091   223.166         0         -  0.271872
   146      16      8107      8091   221.638         0         -  0.271872
   147      16      8107      8091    220.13         0         -  0.271872
   148      16      8107      8091   218.643         0         -  0.271872
   149      16      8140      8124   218.061      13.2  0.130444  0.292077
   150      16      8239      8223   219.247       396  0.122437  0.291792
   151      16      8347      8331   220.656       432  0.176334  0.289899
   152      16      8452      8436   221.967       420  0.205254  0.288142
   153      16      8542      8526   222.869       360  0.078774   0.28686
   154      16      8637      8621   223.889       380  0.070696  0.285343
   155      16      8724      8708   224.689       348  0.093598  0.284699
   156      16      8804      8788     225.3       320  0.202692  0.283772
   157      16      8872      8856   225.597       272  0.065679  0.282803
   158      16      8874      8858    224.22         8  0.081837  0.282762
   159      16      8874      8858   222.809         0         -  0.282762
2013-09-25 06:21:12.742315min lat: 0.059625 max lat: 13.6233 avg lat: 0.285208
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   160      16      8931      8915   222.842       114  0.098584  0.285208
   161      16      8968      8952   222.377       148  0.078256  0.284427
   162      16      9026      9010   222.436       232  0.126757  0.287553
   163      16      9127      9111   223.549       404  0.138762   0.28614
   164      16      9222      9206   224.503       380  0.210805  0.284924
   165      16      9312      9296   225.324       360  0.083776  0.283533
   166      16      9408      9392   226.279       384  0.090503  0.282676
   167      16      9502      9486   227.176       376  0.075412  0.281499
   168      16      9583      9567   227.752       324  0.082349  0.280668
   169      16      9623      9607   227.351       160  0.076501  0.279918
   170      16      9678      9662   227.307       220  0.095956  0.280186
   171      16      9703      9687   226.563       100   0.07721  0.281703
   172      16      9727      9711   225.803        96  0.081214  0.281296
   173      16      9789      9773   225.931       248  0.103918  0.283136
   174      16      9880      9864   226.725       364  0.152361  0.282117
   175      16      9983      9967   227.783       412   0.27146  0.280841
   176      16     10085     10069   228.807       408  0.124957  0.279544
   177      16     10162     10146   229.254       308  0.093385  0.278603
   178      16     10194     10178   228.685       128  0.198536  0.278031
   179      16     10194     10178   227.407         0         -  0.278031
2013-09-25 06:21:32.745466min lat: 0.059625 max lat: 13.6233 avg lat: 0.278031
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   180      16     10194     10178   226.144         0         -  0.278031
   181      16     10194     10178   224.894         0         -  0.278031
   182      16     10194     10178   223.659         0         -  0.278031
   183      16     10255     10239    223.77      48.8  0.100038  0.282424
   184      16     10333     10317   224.249       312  0.097589   0.28443
   185      16     10353     10337   223.469        80  0.083608  0.284099
