 Maintaining 16 concurrent writes of 4194304 bytes for at least 300 seconds.
 Object prefix: benchmark_data_Client_5912
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   101      16      5963      5947   235.486       400  0.122802  0.271528
   102      16      6019      6003   235.373       224  0.786043  0.270553
   103      16      6110      6094   236.621       364  0.114123  0.269966
   104      16      6147      6131   235.769       148  0.080184  0.269954
   105      16      6163      6147   234.133        64  0.075038  0.269485
   106      16      6209      6193    233.66       184  0.085937  0.273197
   107      16      6316      6300   235.475       428  0.259402  0.271488
   108      16      6403      6387   236.517       348  0.577549  0.270326
   109      16      6499      6483   237.869       384  0.144142  0.268801
   110      16      6588      6572   238.942       356  0.114216  0.267049
   111      16      6598      6582    237.15        40    0.0742  0.266772
   112      16      6598      6582   235.033         0         -  0.266772
   113      16      6673      6657   235.607       150   0.17402  0.271467
   114      16      6760      6744   236.593       348  0.101824  0.269744
   115      16      6786      6770    235.44       104  0.998587  0.271599
   116      16      6843      6827   235.375       228   0.07004  0.270664
   117      16      6920      6904   235.996       308  0.243998  0.270901
   118      16      7021      7005   237.419       404  0.150787  0.269422
   119      16      7121      7105   238.785       400  0.092087   0.26775
2013-09-25 07:56:01.960532min lat: 0.058125 max lat: 9.24276 avg lat: 0.266384
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   120      16      7194      7178   239.228       292  0.092867  0.266384
   121      16      7210      7194   237.779        64   1.40611  0.266696
   122      16      7298      7282   238.715       352  0.133358  0.267906
   123      16      7354      7338   238.595       224  0.071974  0.266814
   124      16      7373      7357   237.284        76  0.074128  0.266329
   125      16      7375      7359    235.45         8  0.070657  0.266317
   126      16      7375      7359   233.581         0         -  0.266317
   127      16      7404      7388   232.655        58   2.86122  0.273183
   128      16      7499      7483   233.806       380  0.090874  0.273491
   129      16      7572      7556   234.257       292  0.123378  0.272325
   130      16      7582      7566   232.762        40  0.078653  0.272064
   131      16      7582      7566   230.986         0         -  0.272064
   132      16      7582      7566   229.236         0         -  0.272064
   133      16      7596      7580   227.933   18.6667  0.202887  0.277333
   134      16      7692      7676   229.098       384  0.088297   0.27916
   135      16      7797      7781   230.511       420   0.18827  0.277439
   136      16      7896      7880   231.728       396  0.096345  0.276054
   137      16      7995      7979   232.926       396  0.179506  0.274583
   138      16      8095      8079   234.136       400  0.196613   0.27309
   139      16      8193      8177   235.272       392  0.085129  0.271739
2013-09-25 07:56:21.963420min lat: 0.058125 max lat: 9.24276 avg lat: 0.271193
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   140      16      8220      8204   234.362       108   0.07056  0.271193
   141      16      8247      8231   233.466       108  0.083121  0.272033
   142      16      8274      8258   232.582       108  0.078188  0.271525
   143      16      8336      8320    232.69       248  0.077274  0.274898
   144      16      8434      8418   233.796       392  0.181107  0.273398
   145      16      8521      8505   234.583       348  0.125815  0.272216
   146      16      8566      8550   234.209       180  0.070507  0.271275
   147      16      8619      8603   234.058       212  0.065956  0.272421
   148      16      8650      8634   233.314       124  0.072359  0.272558
   149      16      8713      8697   233.439       252  0.086659  0.273272
   150      16      8737      8721   232.523        96  0.085006  0.272751
   151      16      8817      8801   233.102       320  0.093186  0.274194
   152      16      8883      8867   233.305       264  0.076639  0.272893
   153      16      8930      8914   233.008       188  0.827695  0.274361
   154      16      8997      8981   233.235       268   1.13714  0.273536
