 Maintaining 16 concurrent writes of 4194304 bytes for at least 300 seconds.
 Object prefix: benchmark_data_Client_39852
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16        98        82   327.877       328  0.206513  0.169362
     2      16       142       126   251.932       176  0.069447  0.227314
     3      16       203       187   249.275       244  0.515145    0.2324
     4      16       283       267   266.944       320  0.114351  0.233981
     5      16       357       341   272.744       296  0.075162  0.214594
     6      16       367       351   233.953        40  0.088253  0.229628
     7      16       379       363   207.389        48  0.074313  0.251321
     8      16       426       410   204.961       188  0.102274  0.294838
     9      16       510       494   219.515       336  0.135886  0.288475
    10      16       598       582   232.758       352  0.085635  0.273138
    11      16       689       673   244.683       364   0.17754  0.259636
    12      16       723       707   235.624       136  0.074222   0.25465
    13      16       723       707   217.499         0         -   0.25465
    14      16       723       707   201.965         0         -   0.25465
    15      16       723       707   188.501         0         -   0.25465
    16      16       723       707   176.721         0         -   0.25465
    17      16       723       707   166.326         0         -   0.25465
    18      16       723       707   157.086         0         -   0.25465
    19      16       723       707   148.819         0         -   0.25465
2013-09-24 09:53:25.898657min lat: 0.059979 max lat: 3.63027 avg lat: 0.25465
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16       723       707   141.378         0         -   0.25465
    21      16       723       707   134.646         0         -   0.25465
    22      16       723       707   128.526         0         -   0.25465
    23      16       723       707   122.938         0         -   0.25465
    24      16       723       707   117.816         0         -   0.25465
    25      16       795       779   124.621   22.1538  0.107811  0.511792
    26      16       883       867   133.365       352  0.098075  0.478185
    27      16       977       961   142.349       376  0.100582  0.448021
    28      16      1001       985   140.693        96  0.194113  0.440867
    29      16      1001       985   135.842         0         -  0.440867
    30      16      1001       985   131.314         0         -  0.440867
    31      16      1001       985   127.078         0         -  0.440867
    32      16      1001       985   123.107         0         -  0.440867
    33      16      1029      1013    122.77      22.4  0.149617  0.509243
    34      16      1116      1100   129.393       348  0.131715  0.493568
    35      16      1210      1194   136.437       376  0.182515   0.46813
    36      16      1281      1265   140.535       284  0.200186  0.451732
    37      16      1304      1288   139.223        92  0.069341  0.446018
    38      16      1359      1343   141.348       220  0.138972  0.451457
    39      16      1412      1396   143.158       212  0.068443  0.438996
2013-09-24 09:53:45.901516min lat: 0.059979 max lat: 13.171 avg lat: 0.444853
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16      1451      1435   143.479       156  0.320557  0.444853
    41      16      1544      1528   149.051       372  0.088173   0.42812
    42      16      1632      1616   153.882       352  0.253133  0.414944
    43      16      1685      1669   155.232       212  0.105389  0.408954
    44      16      1691      1675    152.25        24   0.66216  0.409779
    45      16      1691      1675   148.867         0         -  0.409779
    46      16      1691      1675   145.631         0         -  0.409779
    47      16      1691      1675   142.532         0         -  0.409779
    48      16      1691      1675   139.563         0         -  0.409779
    49      16      1691      1675   136.715         0         -  0.409779
    50      16      1691      1675   133.981         0         -  0.409779
    51      16      1691      1675   131.354         0         -  0.409779
    52      16      1691      1675   128.828         0         -  0.409779
    53      16      1691      1675   126.397         0         -  0.409779
    54      16      1691      1675   124.056         0         -  0.409779
    55      16      1691      1675   121.801         0         -  0.409779
    56      16      1705      1689   120.626   4.66667  0.072257  0.458017
    57      16      1705      1689    118.51         0         -  0.458017
    58      16      1717      1701   117.294        24  0.104024  0.528038
    59      16      1802      1786   121.068       340  0.089469  0.527715
2013-09-24 09:54:05.904026min lat: 0.059979 max lat: 15.2796 avg lat: 0.512588
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    60      16      1885      1869   124.582       332  0.076585  0.512588
    61      16      1966      1950   127.851       324  0.188976  0.498735
    62      16      2038      2022   130.433       288   0.34388  0.489474
    63      16      2063      2047    129.95       100  0.070173  0.485303
    64      16      2063      2047   127.919         0         -  0.485303
    65      16      2063      2047   125.951         0         -  0.485303
    66      16      2063      2047   124.043         0         -  0.485303
    67      16      2063      2047   122.192         0         -  0.485303
    68      16      2101      2085    122.63      30.4  0.251903  0.521196
    69      16      2197      2181   126.417       384  0.138904  0.505652
    70      16      2288      2272    129.81       364  0.195915  0.492434
    71      16      2370      2354   132.601       328  0.062665   0.48049
    72      16      2371      2355   130.815         4  0.071453  0.480316
    73      16      2371      2355   129.023         0         -  0.480316
    74      16      2378      2362   127.658        14  0.073597   0.48716
    75      16      2380      2364   126.062         8  0.073664  0.486863
    76      16      2380      2364   124.403         0         -  0.486863
    77      16      2380      2364   122.788         0         -  0.486863
    78      16      2380      2364   121.214         0         -  0.486863
    79      16      2380      2364   119.679         0         -  0.486863
2013-09-24 09:54:25.906787min lat: 0.059979 max lat: 15.2796 avg lat: 0.486863
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    80      16      2380      2364   118.183         0         -  0.486863
    81      16      2380      2364   116.724         0         -  0.486863
    82      16      2401      2385   116.325        12   8.23775  0.542466
    83      16      2484      2468   118.923       332  0.235091  0.537512
    84      16      2555      2539   120.888       284  0.069839  0.526778
    85      16      2557      2541    119.56         8  0.067512  0.526418
    86      16      2557      2541   118.169         0         -  0.526418
    87      16      2627      2611   120.029       140  0.092539  0.532706
    88      16      2713      2697   122.574       344  0.310986  0.521278
    89      16      2798      2782   125.016       340  0.115946  0.511085
    90      16      2859      2843   126.338       244  0.181226  0.505761
    91      16      2947      2931   128.817       352  0.200719  0.495679
    92      16      3003      2987   129.851       224   0.08015  0.492056
    93      16      3033      3017   129.745       120  0.062246  0.489019
    94      16      3033      3017   128.365         0         -  0.489019
    95      16      3033      3017   127.014         0         -  0.489019
    96      16      3033      3017    125.69         0         -  0.489019
    97      16      3033      3017   124.395         0         -  0.489019
    98      16      3033      3017   123.125         0         -  0.489019
    99      16      3033      3017   121.882         0         -  0.489019
2013-09-24 09:54:45.909641min lat: 0.059477 max lat: 15.2796 avg lat: 0.489019
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   100      16      3033      3017   120.663         0         -  0.489019
   101      16      3033      3017   119.468         0         -  0.489019
   102      16      3033      3017   118.297         0         -  0.489019
   103      16      3033      3017   117.149         0         -  0.489019
   104      16      3033      3017   116.022         0         -  0.489019
   105      16      3033      3017   114.917         0         -  0.489019
   106      16      3033      3017   113.833         0         -  0.489019
   107      16      3033      3017   112.769         0         -  0.489019
   108      16      3042      3026   112.059       2.4  0.106547  0.519074
   109      16      3132      3116   114.333       360  0.316803  0.559244
   110      16      3229      3213    116.82       388   0.15162  0.547314
   111      16      3281      3265   117.641       208  0.074025  0.541323
   112      16      3281      3265   116.591         0         -  0.541323
   113      16      3281      3265   115.559         0         -  0.541323
   114      16      3281      3265   114.546         0         -  0.541323
   115      16      3281      3265   113.549         0         -  0.541323
   116      16      3332      3316   114.329      40.8  0.154112  0.559274
   117      16      3436      3420   116.907       416  0.175012  0.547057
   118      16      3533      3517   119.204       388  0.114929  0.536316
   119      16      3620      3604   121.126       348  0.335372  0.527697
2013-09-24 09:55:05.912347min lat: 0.059477 max lat: 15.9661 avg lat: 0.526445
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   120      16      3633      3617    120.55        52  0.068893  0.526445
   121      16      3641      3625   119.818        32   0.06483  0.525707
   122      16      3656      3640   119.328        60   0.07584  0.529653
   123      16      3673      3657    118.91        68  0.084691  0.530156
   124      16      3673      3657   117.951         0         -  0.530156
   125      16      3699      3683   117.839        52  0.145051  0.538398
   126      16      3752      3736   118.587       212  0.071363  0.537068
   127      16      3806      3790   119.353       216  0.133219  0.535798
   128      16      3873      3857   120.514       268  0.140471  0.529847
   129      16      3946      3930   121.843       292  0.079423  0.523669
   130      16      3947      3931   120.937         4  0.068263  0.523553
   131      16      3947      3931   120.014         0         -  0.523553
   132      16      3947      3931   119.105         0         -  0.523553
