 Maintaining 16 concurrent writes of 4194304 bytes for at least 300 seconds.
 Object prefix: benchmark_data_Client_40746
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
     0       0         0         0         0         0         -         0
     1      16       103        87   347.857       348  0.176905  0.168684
     2      16       202       186    371.88       396  0.179043  0.163816
     3      16       306       290    386.56       416  0.170686  0.159935
     4      16       361       345   344.913       220   0.07788  0.155422
     5      16       381       365    291.93        80   1.25743  0.182331
     6      16       468       452   301.265       348  0.090292  0.209511
     7      16       573       557   318.216       420  0.073854  0.199262
     8      16       675       659   329.431       408  0.096978  0.190475
     9      16       766       750   333.265       364  0.337426   0.18996
    10      16       868       852   340.733       408  0.125428  0.185945
    11      16       940       924   335.935       288  0.122141  0.188367
    12      16      1045      1029   342.934       420  0.187301  0.185249
    13      16      1142      1126   346.397       388   0.15673  0.183448
    14      16      1244      1228   350.793       408  0.080889  0.181146
    15      16      1346      1330   354.602       408  0.094401  0.179329
    16      16      1413      1397   349.188       268  0.119206  0.177436
    17      16      1497      1481   348.409       336  0.099215  0.182731
    18      16      1598      1582   351.494       404  0.150806  0.181276
    19      16      1680      1664   350.254       328  0.145047  0.179643
2013-09-24 13:33:42.958898min lat: 0.063128 max lat: 2.33653 avg lat: 0.181806
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    20      16      1749      1733   346.539       276  0.073496  0.181806
    21      16      1757      1741    331.56        32  0.082259  0.182987
    22      16      1777      1761   320.126        80  0.201239  0.187863
    23      16      1786      1770   307.774        36  0.076212  0.187314
    24      16      1786      1770   294.951         0         -  0.187314
    25      16      1823      1807   289.072        74  0.083549  0.200675
    26      16      1831      1815   279.185        32  0.070087  0.200183
    27      16      1869      1853   274.474       152  0.072102   0.21116
    28      16      1869      1853   264.671         0         -   0.21116
    29      16      1869      1853   255.545         0         -   0.21116
    30      16      1869      1853   247.027         0         -   0.21116
    31      16      1917      1901   245.251        48  0.075417  0.259922
    32      16      2017      2001   250.085       400  0.190868  0.255203
    33      16      2091      2075   251.475       296  0.066685  0.251161
    34      16      2125      2109   248.078       136  0.176369  0.256142
    35      16      2224      2208   252.303       396  0.111769   0.25279
    36      16      2313      2297   255.182       356  0.093976   0.24959
    37      16      2369      2353   254.338       224  0.073057  0.247194
    38      16      2380      2364   248.802        44  0.070268  0.246484
