 Maintaining 16 concurrent writes of 4194304 bytes for at least 300 seconds.
 Object prefix: benchmark_data_Client_6625
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   103      16      5176      5160    200.36       196  0.092638  0.319111
   104      16      5265      5249   201.856       356  0.262152  0.316798
   105      16      5377      5361     204.2       448  0.108204  0.313208
   106      16      5481      5465   206.197       416  0.088566  0.310092
   107      16      5539      5523   206.438       232  0.097817  0.308358
   108      16      5583      5567   206.156       176  0.075139  0.307748
   109      16      5587      5571   204.411        16  0.071545  0.307589
   110      16      5587      5571   202.553         0         -  0.307589
   111      16      5587      5571   200.728         0         -  0.307589
   112      16      5618      5602   200.043   41.3333  0.115435  0.318951
   113      16      5715      5699   201.706       388  0.159607  0.317021
   114      16      5802      5786   202.989       348  0.177829  0.314933
   115      16      5889      5873   204.249       348  0.101412  0.312893
   116      16      5986      5970   205.833       388  0.113484  0.310653
   117      16      6083      6067   207.389       388  0.147541  0.308166
   118      16      6150      6134   207.903       268  0.070885   0.30628
   119      16      6173      6157   206.928        92  0.091846   0.30711
2013-09-25 09:33:46.808233min lat: 0.060842 max lat: 12.7937 avg lat: 0.307895
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   120      16      6242      6226   207.504       276  0.162278  0.307895
   121      16      6267      6251   206.615       100  0.067824  0.307119
   122      16      6292      6276   205.741       100  0.067455  0.307281
   123      16      6304      6288   204.458        48    2.9146  0.310063
   124      16      6360      6344   204.616       224  0.794017  0.311859
   125      16      6448      6432   205.794       352  0.159698  0.310767
   126      16      6545      6529    207.24       388  0.105435  0.308555
   127      16      6648      6632   208.852       412  0.080071  0.306142
   128      16      6744      6728    210.22       384  0.152088   0.30424
   129      16      6850      6834   211.877       424  0.086973  0.301888
   130      16      6937      6921   212.923       348  0.218385  0.300307
   131      16      7023      7007   213.924       344  0.142204  0.298634
   132      16      7088      7072   214.272       260   0.07559  0.297108
   133      16      7105      7089   213.172        68  0.081157  0.296598
   134      16      7146      7130   212.805       164  0.215194  0.300327
   135      16      7183      7167   212.325       148  0.130093  0.299708
   136      16      7203      7187   211.352        80  0.156943  0.299367
   137      16      7220      7204   210.305        68  0.078854  0.298861
   138      16      7220      7204   208.781         0         -  0.298861
   139      16      7220      7204    207.28         0         -  0.298861
2013-09-25 09:34:06.811206min lat: 0.060842 max lat: 12.7937 avg lat: 0.298861
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   140      16      7220      7204   205.799         0         -  0.298861
   141      16      7220      7204   204.339         0         -  0.298861
   142      16      7254      7238   203.858      27.2  0.245792  0.309758
   143      16      7354      7338   205.229       400  0.106558  0.311594
   144      16      7462      7446   206.804       432  0.147791  0.309326
   145      16      7552      7536    207.86       360  0.147728  0.307634
   146      16      7634      7618   208.682       328  0.096194  0.306048
   147      16      7714      7698   209.439       320  0.160603  0.305219
   148      16      7792      7776   210.132       312  0.078271  0.303559
   149      16      7844      7828   210.117       208  0.086533  0.304225
   150      16      7940      7924   211.276       384  0.075077  0.302367
   151      16      7960      7944   210.407        80  0.067834  0.301925
   152      16      7960      7944   209.023         0         -  0.301925
   153      16      7960      7944   207.656         0         -  0.301925
   154      16      7967      7951    206.49   9.33333  0.191558  0.302199
   155      16      7967      7951   205.158         0         -  0.302199
   156      16      7967      7951   203.843         0         -  0.302199
   157      16      8011      7995   203.665   58.6667   0.07112  0.314021
   158      16      8109      8093   204.857       392  0.220049   0.31224
   159      16      8214      8198   206.209       420  0.165635  0.310157
2013-09-25 09:34:26.814021min lat: 0.060842 max lat: 12.7937 avg lat: 0.308243
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   160      16      8317      8301   207.495       412  0.161987  0.308243
   161      16      8414      8398   208.616       388  0.192032  0.306673
   162      16      8520      8504   209.945       424  0.223527  0.304673
   163      16      8612      8596   210.914       368  0.075423  0.302859
   164      16      8701      8685   211.799       356  0.079774  0.301954
   165      16      8808      8792   213.109       428  0.141337  0.300093
   166      16      8898      8882   213.993       360  0.097046  0.298418
   167      16      8924      8908   213.335       104  0.069641  0.297846
   168      16      8944      8928   212.541        80  0.236261  0.300065
   169      16      8983      8967   212.206       156   0.27346  0.301248
   170      16      9075      9059   213.122       368  0.107992  0.300079
   171      16      9172      9156   214.145       388  0.222074  0.298722
   172      16      9275      9259   215.295       412  0.206362   0.29708
   173      16      9365      9349   216.131       360  0.092824  0.295874
   174      16      9449      9433   216.819       336  0.075009  0.294663
   175      16      9490      9474   216.517       164  0.089925   0.29388
   176      16      9491      9475    215.31         4  0.076325  0.293857
   177      16      9491      9475   214.093         0         -  0.293857
   178      16      9491      9475   212.891         0         -  0.293857
   179      16      9491      9475   211.702         0         -  0.293857
